year,sealevel
1880,-158.72500000000002
1881,-153.05833333333337
1882,-169.88333333333335
1883,-164.59166666666664
1884,-143.75000000000003
1885,-145.24166666666665
1886,-147.57500000000002
1887,-153.2
1888,-151.07500000000002
1889,-149.49999999999997
1890,-147.52500000000003
1891,-149.18333333333334
1892,-146.04166666666666
1893,-141.29999999999998
1894,-150.98333333333332
1895,-139.18333333333334
1896,-146.8166666666667
1897,-141.60833333333335
1898,-132.21666666666667
1899,-124.74166666666666
1900,-130.1
1901,-130.53333333333333
1902,-125.91666666666664
1903,-117.85000000000001
1904,-128.15833333333333
1905,-133.73333333333332
1906,-126.88333333333333
1907,-128.27499999999998
1908,-130.79166666666666
1909,-126.30833333333334
1910,-126.41666666666667
1911,-118.05833333333334
1912,-121.16666666666669
1913,-119.39166666666665
1914,-113.04999999999997
1915,-105.18333333333334
1916,-107.11666666666667
1917,-111.63333333333333
1918,-113.21666666666668
1919,-111.5916666666667
1920,-110.25
1921,-108.23333333333333
1922,-109.125
1923,-107.94166666666668
1924,-115.23333333333333
1925,-113.19166666666668
1926,-106.69166666666668
1927,-107.75833333333334
1928,-111.64999999999999
1929,-110.28333333333332
1930,-106.31666666666666
1931,-106.7
1932,-101.03333333333332
1933,-96.69166666666668
1934,-102.04166666666664
1935,-96.46666666666665
1936,-100.39166666666665
1937,-94.69166666666668
1938,-92.07499999999999
1939,-86.875
1940,-92.19166666666668
1941,-79.99166666666666
1942,-80.05
1943,-80.0
1944,-86.44166666666668
1945,-83.63333333333333
1946,-76.10833333333333
1947,-72.94166666666665
1948,-68.21666666666667
1949,-69.50000000000001
1950,-67.3
1951,-57.833333333333336
1952,-60.38333333333333
1953,-55.96666666666667
1954,-58.93333333333333
1955,-57.975
1956,-63.11666666666667
1957,-49.68333333333334
1958,-48.30833333333334
1959,-48.01666666666667
1960,-44.26666666666666
1961,-38.09166666666667
1962,-43.31666666666667
1963,-44.925000000000004
1964,-52.824999999999996
1965,-41.541666666666664
1966,-46.96666666666666
1967,-45.60833333333333
1968,-44.80833333333334
1969,-37.99999999999999
1970,-39.94166666666667
1971,-34.725
1972,-25.591666666666665
1973,-31.591666666666665
1974,-19.71666666666667
1975,-21.275
1976,-22.349999999999994
1977,-23.96666666666667
1978,-17.566666666666663
1979,-22.53333333333333
1980,-16.525000000000002
1981,-4.075
1982,-9.858333333333333
1983,-1.4666666666666666
1984,-2.391666666666666
1985,-12.683333333333332
1986,-12.058333333333332
1987,-11.458333333333334
1988,-6.758333333333334
1989,-2.3166666666666664
1990,0.008333333333333193
1991,2.508333333333333
1992,3.1666666666666665
1993,1.416666666666667
1994,6.574999999999999
1995,9.524999999999999
1996,13.666666666666664
1997,20.558333333333334
1998,10.666666666666666
1999,19.224999999999998
2000,20.483333333333334
2001,25.983333333333334
2002,28.35833333333333
2003,37.608333333333334
2004,37.18333333333334
2005,37.291666666666664
2006,41.56666666666667
2007,43.48333333333333
2008,52.199999999999996
2009,58.01666666666666
2010,65.75
2011,67.3
2012,76.08333333333333
2013,67.725
